0 19 0x00000000 0xf14020f3 M   csrrs       x1, mhartid, x0
1 21 0x00000004 0x80002217 M   auipc       x4, 0x80002000
2 23 0x00000008 0xffc20213 M   addi        x4, x4, -4
3 25 0x0000000c 0xff027113 M   andi        x2, x4, -16
4 27 0x00000010 0x80000197 M   auipc       x3, 0x80000000
5 29 0x00000014 0x7f018193 M   addi        x3, x3, 2032
6 31 0x00000018 0x000022b7 M   lui         x5, 0x00002000
7 33 0x0000001c 0x80028293 M   addi        x5, x5, -2048
8 47 0x00000020 0x30029073 M   csrrw       x0, mstatus, x5
9 49 0x00000024 0x00000317 M   auipc       x6, 0x00000000
10 51 0x00000028 0x19430313 M   addi        x6, x6, 404
11 54 0x0000002c 0x30531073 M   csrrw       x0, mtvec, x6
12 57 0x00000030 0x30401073 M   csrrw       x0, mie, x0
13 59 0x00000034 0x00001397 M   auipc       x7, 0x00001000
14 61 0x00000038 0x15038393 M   addi        x7, x7, 336
15 63 0x0000003c 0x80000417 M   auipc       x8, 0x80000000
16 76 0x00000040 0xfc440413 M   addi        x8, x8, -60
17 78 0x00000044 0x80000497 M   auipc       x9, 0x80000000
18 80 0x00000048 0xfbc48493 M   addi        x9, x9, -68
19 82 0x0000004c 0x80000517 M   auipc       x10, 0x80000000
20 84 0x00000050 0xfb450513 M   addi        x10, x10, -76
21 86 0x00000054 0x80000597 M   auipc       x11, 0x80000000
22 88 0x00000058 0xfac58593 M   addi        x11, x11, -84
23 90 0x0000005c 0x00000613 M   addi        x12, x0, 0
24 104 0x00000060 0x00000693 M   addi        x13, x0, 0
25 106 0x00000064 0x00000713 M   addi        x14, x0, 0
26 108 0x00000068 0x00000793 M   addi        x15, x0, 0
27 110 0x0000006c 0x00000813 M   addi        x16, x0, 0
28 112 0x00000070 0x00000893 M   addi        x17, x0, 0
29 114 0x00000074 0x00000913 M   addi        x18, x0, 0
30 116 0x00000078 0x00000993 M   addi        x19, x0, 0
31 118 0x0000007c 0x00000a13 M   addi        x20, x0, 0
32 132 0x00000080 0x00000a93 M   addi        x21, x0, 0
33 134 0x00000084 0x00000b13 M   addi        x22, x0, 0
34 136 0x00000088 0x00000b93 M   addi        x23, x0, 0
35 138 0x0000008c 0x00000c13 M   addi        x24, x0, 0
36 140 0x00000090 0x00000c93 M   addi        x25, x0, 0
37 142 0x00000094 0x00000d13 M   addi        x26, x0, 0
38 144 0x00000098 0x00000d93 M   addi        x27, x0, 0
39 146 0x0000009c 0x00000e13 M   addi        x28, x0, 0
40 160 0x000000a0 0x00000e93 M   addi        x29, x0, 0
41 162 0x000000a4 0x00000f13 M   addi        x30, x0, 0
42 164 0x000000a8 0x00000f93 M   addi        x31, x0, 0
43 167 0x000000ac 0x04008463 M   beq         x1, x0, 72
44 169 0x000000b0 0x00000797 M   auipc       x15, 0x00000000
45 171 0x000000b4 0x01c78793 M   addi        x15, x15, 28
46 174 0x000000b8 0x30579073 M   csrrw       x0, mtvec, x15
47 177 0x000000bc 0x30445073 M   csrrwi      x0, mie, 8
48 189 0x000000c0 0x30046073 M   csrrsi      x0, mstatus, 8
49 192 0x000000c4 0x10500073 M   wfi         
