test_name,instruction,desc,cycles_main,cycles_measure,insns_measure,cycles_per_insn,cycles_mode,cycles_mode_pct
add_alternating,add,alternating,3523,3498,1000,3.5015,2,87.5
add_alternating_accum,add,alternating_accum,3523,3498,1000,3.5015,2,87.5
add_max_positive,add,max_positive,3523,3498,1000,3.5015,2,87.5
add_max_positive_accum,add,max_positive_accum,3523,3498,1000,3.5015,2,87.5
add_min_negative,add,min_negative,3519,3498,1000,3.5015,2,87.5
add_min_negative_accum,add,min_negative_accum,3519,3498,1000,3.5015,2,87.5
add_random,add,random,3523,3498,1000,3.5015,2,87.5
add_random_accum,add,random_accum,3523,3498,1000,3.5015,2,87.5
add_zeros,add,zeros,3519,3498,1000,3.5015,2,87.5
add_zeros_accum,add,zeros_accum,3519,3498,1000,3.5015,2,87.5
and_all_ones,and,all_ones,3519,3498,1000,3.5015,2,87.5
and_all_ones_accum,and,all_ones_accum,3519,3498,1000,3.5015,2,87.5
and_no_overlap,and,no_overlap,3523,3498,1000,3.5015,2,87.5
and_no_overlap_accum,and,no_overlap_accum,3523,3498,1000,3.5015,2,87.5
and_random,and,random,3523,3498,1000,3.5015,2,87.5
and_random_accum,and,random_accum,3523,3498,1000,3.5015,2,87.5
and_zero_mask,and,zero_mask,3519,3498,1000,3.5015,2,87.5
and_zero_mask_accum,and,zero_mask_accum,3519,3498,1000,3.5015,2,87.5
div_large_by_2,div,large_by_2,35021,34965,1000,35.0,35,100.0
div_large_by_2_accum,div,large_by_2_accum,35021,34965,1000,35.0,35,100.0
div_neg_by_3,div,neg_by_3,35019,34965,1000,35.0,35,100.0
div_neg_by_3_accum,div,neg_by_3_accum,35019,34965,1000,35.0,35,100.0
div_random_by_17,div,random_by_17,35021,34965,1000,35.0,35,100.0
div_random_by_17_accum,div,random_by_17_accum,35021,34965,1000,35.0,35,100.0
div_small,div,small,35019,34965,1000,35.0,35,100.0
div_small_accum,div,small_accum,35019,34965,1000,35.0,35,100.0
lb_byte,lb,byte,5662,5620,1000,5.6256,5,87.5
lh_half,lh,half,5662,5620,1000,5.6256,5,87.5
lw_word,lw,word,5662,5620,1000,5.6256,5,87.5
lw_word_zero,lw,word_zero,5660,5620,1000,5.6256,5,87.5
mul_large,mul,large,4896,4871,1000,4.8759,4,87.5
mul_large_accum,mul,large_accum,4896,4871,1000,4.8759,4,87.5
mul_medium,mul,medium,4898,4871,1000,4.8759,4,87.5
mul_medium_accum,mul,medium_accum,4898,4871,1000,4.8759,4,87.5
mul_ones,mul,ones,4894,4871,1000,4.8759,4,87.5
mul_ones_accum,mul,ones_accum,4894,4871,1000,4.8759,4,87.5
mul_random,mul,random,4898,4871,1000,4.8759,4,87.5
mul_random_accum,mul,random_accum,4898,4871,1000,4.8759,4,87.5
mul_zero,mul,zero,4894,4871,1000,4.8759,4,87.5
mul_zero_accum,mul,zero_accum,4894,4871,1000,4.8759,4,87.5
or_full_merge,or,full_merge,3523,3498,1000,3.5015,2,87.5
or_full_merge_accum,or,full_merge_accum,3523,3498,1000,3.5015,2,87.5
or_random,or,random,3523,3498,1000,3.5015,2,87.5
or_random_accum,or,random_accum,3523,3498,1000,3.5015,2,87.5
